licenseNumber 证书编号、产品编号、企业信息码、标志编号
enterpriseName 企业名称（中文）
enterpriseNameEN 企业名称（英文）
address 地址、生产地址、经营场所、企业地址
addressEN 地址（英文）
socialCreditCode 社会信用代码/组织机构代码
legalRepresentative 法定代表人
issuingDate 发证日期、备案日期、发证/备案日期
enterprisePersonCharge 企业负责人
expirationDate 有效期至
qualityPersonCharge 质量负责人
licenseScopeEN 认证范围（英文）
issuingAuthority 发证机关
registeredAddress 注册地址
province 省份、省别、地区
warehouseAddress 仓库地址、库房地址
memo 备注
scope 生产范围、经营范围、许可项目、产品规格
modeOperation 经营方式
approvalExtensionDate 批准延续日期
extensionExpirationDate 有效期延续至
approvalExtensionLicenseScope 批准延续的认证范围
issuingPerson 签发人
GMPLicenseVersion 认证GMP版本
dailySupervisoryAuthority 日常监管机构
status 证书状态、批件状态
dailySupervisor 日常监管人员
GSPLicenseNumber GSP证书编号
GSPIssuingDate GSP认证日期
classificationCode 分类码
GSPexpirationDate GSP证书有效期
reportingTelephone 投诉举报电话、监督举报电话
dataScource 数据来源
previousLicenseNumber 原注册证号
productName 产品名称
licenseNumberMemo 注册证号备注
enterpriseResidence 企业住所、住所
subpackageApprovalNumber 分包装批准文号
tradeName 商品名
agentName 代理人名称
dosageForm 剂型
agentResidence 代理人住所
specification 规格、型号、说明/备案资料核查
productionRegionEN 生产国或地区（英文）
productionRegion 生产国或地区（中文）
productCategory 产品类别
countryOrRegionCN 国家/地区（中文）
countryOrRegionEN 国家/地区（英文）
approvalDate 批准日期
previousLicenseNumber 原批准文号
issuingOrRecordAuthority 发证/备案机关
structure 结构及组成
drugStandardCode 药品本位码
productInfo 产品信息
application/use 适用范围/预期用途
tradeNameCN 商品名（中文）
tradeNameEN 商品名（英文）
storageConditionExpirationDate 产品储存条件及有效期
other 其他内容
dosageFormCN 剂型（中文）
regulatoryLevel 监管分级
regulatoryClassification 监管分类
packagingSpecificationCN 包装规格（中文）
manufacturerCN 生产厂商（中文）
manufacturerEN 生产厂商（英文）
attachment 附件
validityPeriod 批件有效期
productNameMemo 产品名称备注
productTechinicalRequirement 产品技术要求
manufacturerAddressCN 厂商地址（中文）
productStandard 产品标准
manufacturerAddressEN 厂商地址（英文）
zipCode 邮编
manufacturerRegionCN 厂商国家/地区（中文）
afterSale 售后服务机构
manufacturerRegionEN 厂商国家/地区（英文）
majorComponentsInVitro 主要组成成分（体外诊断试剂）
intentUse 预期用途（体外诊断试剂）
storageConditionExpirationDateInVitro 产品储存条件及有效期（体外诊断试剂）
subpackageEnterpriseName 分包装企业名称
approvalDepartment 审批部门
subpackageEnterpriseAddress 分包装企业地址
changeDate 变更日期
subpackageNumberApprovalDate 分包装文号批准日期
changeDetail 变更情况
subpackageNumberExpirationDate 分包装文号有效期截止日
productNameEN 产品名称（英文）、英文名称
component 成分
responsibleUnitInChina 在华责任单位地址
hygienicLicense 卫生许可证号
changeRecord 变更及注销记录
mainBusinessFormat 主体业态
explain 说明
foodCategory 食品类别
inspectionMethod 检验方式
enterpriseName 证书持有者
deviceName 设备名称
socialCreditCode 组织机构代码
originPlace 产地
deviceType 设备型号
registeredYear 登记年份
approvedOutput 批准产量(吨)
detail 详情
contract 联系人
validityPeriod 有效期
phone 电话
trademark 注册商标
frequencyTolerance 频率容限
code 邮政编码
frequencyRange 频率范围
fax 传真
transmitPower 发射功率
email 邮箱
bandwidth 占用带宽
website 网址
miscellaneousEmissionLimitation 杂散发射限制
